,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
120,93,49,79,180,65,7,173,37,21,158,189,463,194,70,5,10,197
121,89,37,54,119,53,5,134,50,18,127,151,266,146,79,16,14,184
122,90,48,78,142,59,11,160,43,20,160,173,370,185,76,10,11,183
123,92,40,82,163,63,9,146,45,19,140,165,319,137,64,9,0,199
124,90,36,57,130,57,6,121,56,17,127,137,216,132,68,22,23,190
125,85,45,71,150,63,8,143,46,19,147,171,307,179,72,2,3,187
126,90,46,80,143,62,11,159,43,20,156,169,366,186,74,17,7,185
127,89,42,70,148,62,7,147,45,19,143,176,323,153,76,2,6,186
128,85,41,66,155,65,22,149,45,19,139,173,330,155,75,6,16,184
129,97,45,88,173,67,10,157,43,20,157,173,365,157,67,8,12,192
130,100,48,95,209,68,7,199,32,23,150,216,605,200,73,7,11,192
131,100,46,104,184,60,9,197,34,23,147,222,578,198,73,13,13,189
132,86,36,77,165,60,7,150,45,19,128,174,331,131,66,0,32,196
133,97,42,101,186,59,9,186,36,22,138,208,511,168,67,7,41,194
134,98,39,68,121,49,7,134,51,18,142,164,261,134,75,4,1,186
135,102,54,100,163,53,10,213,31,24,173,219,669,201,76,12,27,187
136,89,47,83,322,133,48,158,43,20,163,229,364,176,97,0,14,184
137,86,48,75,136,58,10,161,43,20,163,170,371,185,75,3,1,183
138,87,42,64,150,64,10,133,50,18,142,157,264,159,67,7,1,193
139,88,37,63,130,58,5,125,54,18,130,141,230,145,74,14,20,184
140,91,42,80,162,66,8,148,44,19,145,171,331,147,70,3,5,189
141,90,37,80,171,58,9,157,42,20,132,172,373,115,60,3,18,201
142,81,42,63,125,55,8,149,46,19,145,166,320,172,86,7,7,179
143,106,49,107,194,57,11,214,31,24,161,224,670,172,67,0,39,192
144,80,43,68,120,54,8,150,45,19,145,171,329,176,85,4,8,179
145,95,45,80,186,62,7,164,40,20,145,188,406,178,65,11,18,199
146,103,54,107,218,64,12,222,30,25,174,221,728,199,67,0,18,189
147,100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189
148,91,40,76,171,67,7,149,44,19,135,169,332,144,68,4,17,192
149,90,43,72,172,59,8,154,42,19,144,174,360,158,61,15,9,203
150,93,36,64,165,69,8,136,49,18,136,161,279,127,67,2,29,193
151,104,50,96,211,65,10,187,35,22,156,207,527,195,65,3,7,195
152,94,44,84,216,74,6,184,35,22,145,208,525,154,73,4,22,196
153,93,35,72,172,62,7,149,44,19,124,169,334,125,62,5,30,203
154,106,49,106,211,64,9,208,32,24,158,224,645,184,68,1,24,190
155,89,40,79,154,64,9,144,46,19,139,168,311,149,71,8,7,188
156,110,56,103,223,64,5,250,26,27,169,280,928,239,85,4,6,184
157,85,36,78,149,55,7,147,45,19,128,168,321,134,64,10,24,197
158,93,42,70,131,56,7,127,53,18,145,156,240,152,74,5,4,189
159,87,39,74,152,58,6,151,44,19,136,174,337,140,70,1,33,187
160,91,45,75,154,57,6,150,44,19,146,170,335,180,66,16,2,193
161,82,38,53,125,59,5,133,51,18,128,152,259,146,87,0,0,177
162,107,52,101,218,64,11,202,33,23,164,219,610,192,65,17,2,197
163,98,39,81,191,64,9,166,40,20,138,184,415,131,62,8,19,197
164,85,40,72,139,59,5,132,50,18,135,159,260,150,68,3,9,191
165,98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186
166,103,54,91,179,57,11,220,31,25,170,220,707,198,72,1,32,186
167,92,36,78,165,57,8,153,43,19,128,169,349,124,60,4,19,203
168,110,51,104,191,57,12,213,31,24,162,226,674,190,68,18,2,191
169,82,45,68,139,64,6,147,46,19,143,169,320,184,80,0,1,181
170,98,38,70,125,52,8,130,53,18,139,157,243,132,74,0,13,186
171,108,51,103,197,60,11,211,31,24,160,222,661,187,67,7,3,190
172,106,54,103,161,47,4,247,27,27,166,266,892,242,85,4,11,181
173,94,45,81,166,67,9,145,46,19,147,164,313,179,66,11,14,194
174,96,49,98,187,59,6,213,31,24,152,228,680,210,77,8,28,188
175,93,48,84,150,63,11,156,44,20,165,171,354,188,73,8,15,185
176,88,40,78,186,73,6,158,41,20,134,185,379,148,73,1,11,193
177,84,39,90,180,60,7,177,37,21,131,209,469,145,71,4,38,190
178,89,44,72,160,66,7,144,46,19,147,166,312,169,69,11,1,191
179,93,37,73,174,68,7,151,43,19,131,175,347,135,68,1,22,196
180,89,44,70,137,58,6,136,49,18,146,168,273,166,78,10,3,186
181,102,54,106,221,68,11,207,32,24,164,228,638,238,71,0,26,189
182,78,36,60,116,56,6,123,55,17,124,141,221,121,78,3,16,178
183,91,42,66,169,66,7,145,44,19,140,169,325,159,67,4,0,201
184,84,35,53,122,57,4,116,59,17,123,135,196,128,76,10,27,183
185,103,46,106,209,66,10,203,33,23,149,217,612,210,70,9,10,191
186,100,41,75,205,71,5,176,36,21,138,204,479,151,72,7,19,197
187,91,42,81,193,69,5,169,38,20,137,184,434,156,68,3,23,198
188,98,45,76,166,60,7,157,42,20,148,184,371,186,69,13,10,190
189,101,51,105,212,68,10,209,32,24,162,222,653,224,73,5,23,186
190,90,36,78,179,64,8,157,42,19,126,182,367,142,66,1,20,192
191,97,48,94,198,63,9,181,36,21,155,200,494,189,64,20,11,199
192,87,40,81,162,68,10,146,46,19,139,167,317,157,70,0,13,189
193,93,43,76,149,57,7,149,44,19,143,172,335,176,69,14,0,189
194,107,55,98,199,59,7,240,27,26,168,258,866,245,80,3,1,186
195,92,37,86,167,60,7,158,42,20,131,181,373,144,68,9,21,190
196,86,43,66,130,56,7,152,44,19,142,177,340,173,81,6,14,181
197,107,56,104,231,71,11,219,31,25,172,226,705,217,71,19,11,189
198,82,44,72,150,64,7,154,44,19,144,181,350,177,80,0,16,183
199,81,46,71,130,56,7,153,44,19,149,172,342,191,81,3,14,180
200,82,44,72,136,61,7,147,46,19,143,173,317,183,81,6,17,181
201,93,47,85,163,66,11,156,44,20,158,172,355,178,74,7,15,183
202,90,36,74,171,60,8,157,42,19,128,177,367,123,61,6,21,197
203,111,54,103,171,50,11,221,30,25,172,227,727,201,69,15,6,190
204,103,55,100,194,62,11,212,31,24,175,217,666,219,73,10,14,187
205,89,40,58,137,58,7,122,54,17,140,146,225,150,63,7,4,199
206,87,47,81,149,62,9,147,45,19,152,171,325,181,72,0,6,188
207,92,46,79,176,64,8,162,41,20,149,183,396,178,67,2,10,191
208,85,42,64,121,55,7,149,46,19,146,167,323,172,85,1,6,179
209,86,46,70,149,65,8,149,45,19,146,170,331,185,77,6,6,183
210,101,56,100,168,55,11,214,31,24,175,219,681,224,74,2,3,185
211,94,39,89,194,62,9,172,38,21,135,191,444,121,63,4,23,201
212,86,37,69,150,63,8,138,48,18,134,163,284,124,71,1,6,189
213,90,41,71,169,68,7,150,44,19,138,175,336,157,71,3,18,192
214,104,49,89,168,54,4,212,31,24,153,238,682,198,78,1,23,190
215,89,36,72,141,56,7,138,48,18,126,163,286,130,72,1,1,187
216,90,39,86,169,62,7,162,41,20,131,194,388,147,74,1,22,185
217,84,44,77,150,59,5,152,44,19,143,175,344,177,77,8,2,183
218,104,57,103,216,69,11,219,30,25,176,228,708,219,73,4,3,186
219,83,44,68,144,61,8,147,45,19,143,170,325,180,74,1,1,185
220,85,39,57,126,56,6,114,58,17,135,134,195,145,64,17,7,197
221,99,55,101,206,62,13,222,30,25,180,225,722,213,71,2,3,186
222,88,44,85,139,56,11,157,43,20,155,176,363,175,76,5,16,184
223,100,50,81,197,67,6,186,34,22,158,206,531,198,74,6,1,197
224,81,44,72,139,60,6,153,44,19,146,180,347,178,81,1,15,182
225,86,41,66,133,56,6,136,49,18,136,155,274,162,74,5,14,183
226,93,41,79,159,63,8,144,46,19,150,165,309,134,67,4,9,195
227,107,54,98,210,66,11,218,31,24,169,221,704,216,71,14,0,188
228,94,35,66,147,62,9,131,50,18,127,159,258,115,66,8,7,196
229,105,54,106,215,68,10,208,32,24,166,217,640,218,69,14,23,189
230,86,41,64,148,61,5,150,45,19,138,165,333,173,80,5,8,182
231,85,35,47,110,55,3,117,57,17,122,136,203,139,89,5,9,180
232,85,33,40,115,57,3,112,61,17,119,130,184,127,86,12,21,181
233,81,44,68,120,53,6,151,45,19,147,170,333,178,86,4,5,179
234,100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187
235,93,42,64,158,68,9,134,49,18,142,163,268,170,71,7,13,192
236,90,48,78,134,56,11,160,43,20,167,169,366,185,76,1,14,182
237,96,37,74,199,74,5,165,39,20,128,188,419,136,72,1,3,196
238,85,45,65,128,56,8,151,45,19,145,170,332,186,81,1,10,179
239,100,55,101,189,57,10,222,30,25,177,225,731,211,71,7,17,188
240,79,47,74,141,61,7,153,43,19,149,175,349,199,77,6,10,183
241,89,36,77,172,62,8,157,42,19,125,174,367,126,63,5,22,198
242,93,45,73,164,59,7,159,42,20,146,182,379,188,65,11,15,195
243,85,42,59,132,58,7,149,46,19,144,166,320,172,83,8,4,179
244,101,55,108,228,69,12,215,31,24,168,229,684,214,71,2,16,188
245,85,47,75,121,53,9,157,44,20,165,168,358,176,77,1,7,182
246,93,41,75,124,51,7,140,49,18,141,164,284,149,77,5,15,184
247,95,36,73,191,73,6,156,41,19,126,184,374,124,71,2,19,199
248,91,39,83,176,59,7,169,39,20,132,190,426,142,67,0,24,192
249,103,55,103,211,65,11,212,31,24,165,229,673,249,72,5,16,188
250,85,34,53,127,58,6,116,58,17,121,137,197,127,70,3,20,185
251,95,38,66,126,52,8,133,52,18,140,158,253,140,78,11,8,184
252,104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187
253,84,44,80,140,58,11,156,44,20,157,166,349,176,74,5,17,183
254,94,43,68,170,67,6,142,46,18,142,164,310,177,65,10,8,198
255,93,47,85,161,65,12,155,43,19,157,179,354,178,76,2,9,184
256,112,50,110,186,56,11,214,31,24,159,232,676,203,71,18,27,191
257,91,36,77,157,56,7,155,42,19,126,177,361,123,65,8,15,195
258,92,43,69,158,56,7,149,44,19,143,170,333,168,63,14,18,198
259,99,48,104,196,63,10,201,33,23,152,221,604,199,73,8,4,188
260,98,58,101,208,65,12,226,30,25,182,225,748,216,71,6,1,185
261,83,37,54,118,55,4,129,52,18,127,146,245,140,81,4,13,180
262,91,39,88,189,63,9,175,38,21,132,197,457,156,69,0,23,191
263,89,40,60,131,56,6,118,56,17,137,143,209,153,65,10,8,193
264,89,35,70,138,58,7,126,53,17,128,147,237,112,64,4,19,199
265,103,49,100,194,60,10,185,35,22,160,202,518,178,62,13,8,198
266,80,45,71,128,56,7,151,45,19,147,171,337,176,79,3,16,181
267,86,42,65,116,53,6,152,45,19,141,175,335,172,85,5,4,179
268,100,46,81,187,61,9,166,40,20,154,189,415,175,63,13,9,198
269,86,39,60,140,60,7,119,55,17,134,140,212,141,61,7,8,200
270,83,37,62,113,53,6,122,55,17,129,143,218,135,79,0,7,181
271,82,45,68,150,69,5,148,45,19,144,169,322,184,80,5,0,181
272,93,47,88,200,66,7,173,38,21,151,197,452,205,66,0,3,195
273,91,43,88,157,61,9,149,45,19,157,165,326,140,64,1,26,197
274,96,45,80,162,63,9,146,46,19,148,161,316,161,64,5,10,199
275,107,57,106,179,51,8,257,26,28,172,275,954,232,83,2,20,181
276,87,44,70,179,75,6,146,45,19,141,167,326,178,69,6,1,194
277,83,46,73,137,59,6,148,45,19,146,167,327,183,75,8,0,185
278,86,41,66,129,55,7,135,50,18,136,154,266,165,74,3,4,180
279,109,54,109,225,68,11,214,31,24,169,226,675,212,68,11,32,189
280,94,37,73,186,71,7,154,42,19,127,171,362,132,67,2,8,197
281,100,44,93,193,62,8,186,35,22,147,202,521,151,66,0,2,193
282,82,43,73,154,65,7,151,44,19,143,178,341,160,76,5,11,185
283,86,46,73,125,57,6,151,45,19,147,170,334,188,82,9,11,180
284,116,53,110,231,67,12,217,31,24,165,231,692,222,67,16,28,192
285,89,46,77,125,52,10,156,44,20,160,171,351,177,78,7,17,183
286,89,48,85,189,64,8,169,39,20,153,188,427,190,64,16,5,195
287,83,41,70,155,65,7,144,46,19,141,168,309,147,71,4,12,188
288,88,43,84,136,55,11,154,44,19,150,174,350,164,73,6,2,185
289,96,47,103,215,69,10,200,33,23,147,220,598,200,73,6,6,187
290,88,37,57,132,62,6,135,50,18,125,151,265,144,83,16,16,180
291,98,38,66,130,55,7,130,51,18,138,160,251,123,69,3,12,191
292,89,45,81,246,102,43,155,44,20,160,200,347,177,90,9,17,183
293,87,42,76,159,65,5,155,42,19,138,184,362,157,76,6,12,189
294,93,36,63,139,57,8,132,50,18,136,158,260,121,67,3,27,193
295,109,55,102,169,51,6,241,27,26,165,265,870,247,84,10,11,184
296,90,38,75,164,64,7,151,43,19,131,168,345,139,66,0,0,195
297,98,52,86,207,69,5,192,33,22,161,212,570,221,75,4,6,194
298,82,37,66,126,54,7,132,52,18,127,148,252,142,72,17,7,183
299,91,40,98,192,64,9,177,38,21,135,194,465,165,66,9,35,195
300,98,40,77,171,61,6,172,37,21,139,197,457,141,72,4,17,199
301,106,53,98,193,60,10,215,31,24,169,224,681,218,73,8,21,188
302,93,43,78,166,59,7,151,44,19,141,182,342,174,68,15,2,193
303,94,37,72,193,72,6,158,41,19,133,184,385,127,70,0,14,200
304,89,36,68,149,60,8,133,50,18,134,153,265,119,62,6,18,201
305,85,45,70,130,58,8,151,45,19,146,171,334,187,79,2,5,181
306,86,45,73,152,63,6,149,44,19,145,170,335,176,71,6,1,189
307,106,48,107,202,61,10,207,32,24,153,227,635,200,70,5,28,190
308,107,52,103,186,57,11,214,31,24,162,217,676,189,66,6,5,189
309,109,51,100,197,59,10,192,34,22,161,210,553,195,64,14,3,196
310,109,48,107,215,62,10,205,32,23,158,222,624,168,65,9,32,195
311,90,50,90,188,61,10,181,36,21,158,211,492,220,69,6,19,191
312,93,45,83,142,56,10,157,43,20,155,180,364,188,75,1,21,184
313,82,41,70,155,64,7,148,45,19,138,172,328,152,72,5,17,187
314,96,52,104,222,67,9,198,33,23,163,217,589,226,67,12,20,192
315,90,42,63,126,55,7,152,45,19,142,173,336,173,81,0,15,180
316,93,40,62,117,49,7,131,52,18,145,160,249,156,78,8,6,184
317,91,41,66,131,56,9,126,53,18,144,159,237,155,72,3,10,191
318,95,45,105,208,64,10,187,36,22,150,202,520,158,64,7,32,198
319,89,37,51,111,54,5,120,56,17,127,138,213,147,82,7,4,181
320,102,51,92,194,60,6,220,30,25,162,247,731,209,80,7,7,188
321,105,54,100,220,69,10,221,30,25,170,232,718,202,73,0,13,187
322,113,57,109,194,56,6,260,26,28,175,288,982,261,85,11,21,182
323,87,43,65,127,56,8,149,46,19,143,169,322,171,85,6,3,180
324,98,51,96,203,66,10,188,35,22,157,207,533,231,68,10,1,191
325,94,38,88,179,60,7,170,39,21,131,188,435,144,66,2,28,195
326,82,44,63,123,54,7,151,45,19,147,166,329,185,81,3,4,179
327,106,49,96,201,61,10,181,36,21,158,197,494,180,62,19,15,202
328,89,44,82,136,54,6,149,45,19,144,170,332,168,68,10,14,188
329,93,43,88,170,66,9,150,45,19,147,164,334,143,65,2,17,196
330,89,38,80,169,59,7,161,41,20,131,186,389,137,68,5,15,192
331,98,44,78,160,63,8,142,47,18,148,160,300,171,63,19,2,201
332,104,52,96,188,59,9,188,35,22,161,206,530,205,67,11,8,193
333,99,57,109,220,66,11,221,30,25,176,234,725,236,70,10,25,188
334,86,42,65,125,54,7,150,45,19,140,171,327,172,85,2,8,180
335,107,57,102,184,55,7,234,28,26,171,243,822,229,77,7,11,187
336,109,54,103,205,63,11,222,30,25,175,229,720,213,71,6,14,187
337,89,44,76,125,54,10,156,44,20,151,163,352,176,76,12,12,184
338,99,51,88,188,62,5,203,32,23,158,222,625,219,77,8,26,191
339,97,45,91,161,63,10,151,45,19,148,166,334,171,65,18,20,197
340,87,41,73,158,64,7,151,44,19,138,175,341,152,73,3,8,190
341,89,40,72,155,63,7,146,45,19,135,175,321,145,72,4,10,192
342,86,40,75,146,62,6,140,48,18,135,158,290,162,72,3,21,183
343,83,37,54,131,61,4,135,50,18,127,152,271,141,85,3,6,180
344,102,54,101,190,58,10,222,30,25,171,224,728,203,71,13,6,189
345,99,55,101,219,68,10,224,30,25,178,228,737,213,74,11,20,187
346,101,54,106,188,57,7,236,28,26,164,256,833,253,81,6,14,185
347,117,52,110,228,65,12,212,31,24,163,228,668,220,66,21,25,194
348,88,44,77,167,59,6,151,44,19,145,175,343,177,64,9,12,202
349,95,44,84,158,62,10,145,46,19,148,163,312,166,64,10,6,199
350,89,40,69,147,58,6,132,50,18,137,155,260,151,61,16,6,203
351,97,46,101,210,66,8,192,35,22,151,208,546,169,66,1,32,191
352,88,38,58,137,60,5,148,46,19,131,163,319,157,86,12,0,180
353,91,46,78,148,61,9,147,45,19,152,168,323,199,70,13,11,189
354,81,47,69,146,64,6,151,44,19,147,171,340,195,75,5,0,183
355,98,50,90,192,63,9,177,37,21,155,195,472,197,65,10,1,193
356,93,42,88,188,62,10,183,36,21,141,208,504,168,70,3,12,189
357,91,45,76,171,69,7,150,44,19,144,170,340,179,69,12,1,195
358,109,49,109,193,59,10,207,32,24,156,225,635,213,70,13,31,191
359,87,45,82,164,60,8,156,42,19,144,181,366,174,70,2,2,190
360,100,49,96,206,63,9,186,35,22,156,202,519,176,62,3,5,197
361,108,52,109,182,55,12,216,31,24,171,229,687,214,72,10,28,189
362,101,46,105,195,61,10,198,34,23,150,213,578,195,66,7,38,192
363,95,47,81,176,59,7,168,39,20,152,196,425,185,67,4,4,191
364,89,47,85,147,58,10,153,44,19,151,175,349,186,74,13,7,186
365,87,45,77,153,59,7,154,44,19,145,181,350,172,75,15,14,184
366,108,54,105,203,62,11,202,33,23,164,216,608,235,68,12,3,190
367,90,47,85,149,60,10,155,43,19,155,179,355,186,75,1,5,185
368,82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179
369,84,45,68,148,64,6,146,46,19,142,168,317,180,75,5,1,183
370,89,47,81,156,57,8,161,41,20,149,187,388,197,72,9,15,187
371,96,41,77,177,64,5,177,36,21,134,205,485,148,74,0,4,196
372,97,45,72,187,71,5,161,40,20,144,178,399,186,70,7,7,196
373,97,47,87,164,64,9,156,43,20,149,173,359,182,68,1,13,192
374,96,47,77,204,72,6,167,38,20,150,188,429,182,69,6,16,199
375,87,36,53,117,58,4,118,57,17,125,138,205,138,85,9,15,180
376,109,52,95,189,58,4,227,29,25,158,262,776,217,82,0,19,187
377,104,51,108,193,59,11,217,31,24,163,232,694,203,72,15,22,190
378,87,37,60,132,57,6,128,52,18,129,154,243,132,71,1,14,186
379,82,36,54,117,53,7,125,54,18,126,146,229,128,78,1,5,180
380,105,56,98,209,64,11,217,31,24,173,225,696,216,72,2,19,188
381,80,39,60,122,56,6,139,49,18,131,151,281,142,80,0,5,179
382,106,54,100,227,67,4,250,27,27,162,280,923,262,88,5,11,182
383,81,46,71,141,61,7,153,44,19,148,177,347,190,80,1,14,182
384,100,51,109,224,67,9,217,30,24,162,238,704,206,72,6,18,189
385,88,44,71,145,56,8,142,48,19,143,159,296,174,68,7,18,188
386,94,49,87,159,64,10,157,43,20,158,179,363,203,75,4,0,183
387,99,43,89,195,63,8,186,35,22,144,210,521,166,68,6,13,191
